firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,current_employee,years_in_company
Deloitte,2020-09-15, Senior Consultant,"Former Employee, more than 5 years",Hyderābād,4,1.0,3.0,4.0,5.0,5.0,1.0,3,1,2,Deloitte Culture,Very good company to work with if you are totally career oriented 24X7,Work-life balance is very poor. You end up spoiling your health and personal life,0,5
Deloitte,2020-09-15, Senior Consultant,"Current Employee, more than 3 years",Bangalore,4,2.0,4.0,4.0,4.0,4.0,3.0,1,1,3,Nice company to work,"-Good compensation
-Flexible working hours
-Good hike","- Workload is more
- Extended working hours required",1,3
Deloitte,2020-09-15, Senior Procurement Analyst,"Current Employee, less than 1 year",Hyderābād,5,5.0,5.0,5.0,4.0,5.0,4.0,1,1,1,Definitely one of the Best companies to part of,"1. Learning & Development programs
2. Leadership development programs
3. Employee Care programs & facilities","1. Slow paced work environment within procurement as compared to other firms
2. Does not have an open door policy & red tapes",1,1
Deloitte,2020-09-15, Trainee,"Former Employee, less than 1 year",Lisbon,5,3.0,5.0,5.0,4.0,4.0,5.0,1,2,1,Industrial placement year,They teach very good skills to their employees namely time management and microsoft office,Long hours may get a bit too intense,0,1
Deloitte,2020-09-16, Analyst,"Former Employee, more than 1 year","Chicago, IL",4,2.0,4.0,4.0,4.0,4.0,5.0,1,1,1,Overall Fine,"You get exposure to executives and work on high level challenges that otherwise you probably wouldn't do at an entry-level. Some people are really great and want to help. You do develop very strong generic business skills (communication, deck, excel, owning deliverables, dealing with ambiguity, managing expectations, managing priorities)","Vast majority of the work is large tech implementations and not that interesting. You'll probably end up working with some absolutely horrible people with no boundaries or desire to help you grow. Hours can be long. While good exposure, day-to-day can be very mundane (think reformatting decks, meeting notes, setting up calls) as the majority of what you do.",0,1
Deloitte,2020-09-16, Analyst,"Former Employee, more than 1 year",Bangalore,1,1.0,1.0,1.0,3.0,3.0,1.0,3,1,3,Deloitte review,Exellent exposure to work in a pressure situation,No Work-life balance even on weekends they expect you to deliver,0,1
Deloitte,2020-09-16, Analyst,"Former Employee, more than 1 year",Bangalore,1,1.0,1.0,1.0,3.0,3.0,1.0,3,1,3,Deloitte review,Exellent exposure to work in a pressure situation,No Work-life balance even on weekends they expect you to deliver,0,1
Deloitte,2020-09-16, Analyst,"Current Employee, less than 1 year",Hyderābād,4,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,Analyst,Good profile job satisfaction worth it good place to work,No cons good culture odd timmings,1,1
Deloitte,2020-09-16, Audit Senior,"Current Employee, more than 5 years",Hyderābād,3,2.0,3.0,3.0,3.0,3.0,2.0,3,2,1,Good Culture,The Company has Flexible working culture,The Company has Limited Career Growth,1,5
Deloitte,2020-09-16, BTA,"Current Employee, less than 1 year",Hyderābād,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,GOOD,GOOD work god save the queen,BAD work god save the queen,1,1
Deloitte,2020-09-16, Business Specialist/Operations Manager,"Current Employee, more than 3 years",Melbourne,1,3.0,4.0,5.0,2.0,3.0,2.0,3,2,2,poor management vision and practice,Lots of opportunities to learn,"Poor management practice
High performers with low trust gests rewarded which breed a poor workplace culture",1,3
Deloitte,2020-09-16, Consultant,"Former Employee, more than 1 year","Washington, DC",1,1.0,1.0,1.0,5.0,3.0,2.0,3,2,2,Incredibly Toxic Culture,Deloitte is a powerful brand and gives you good experience. Two years or more here WILL open doors for you elsewhere. Deloitte also does a great job of showing you what a deliverable should look like. The company is big and there’s generally a lot of opportunity to try new things.,"1. The culture at Deloitte is utterly toxic. There is no division for work-life balance and employees frequently behave like high schoolers to each other. In my two years at Deloitte across several major accounts there was constant drama within my vicinity that I had to deal with / avoid on a daily basis. Working through office politics was often harder than the job itself.
2. Federal contracting is broken. This isn’t necessarily D’s fault but most projects objectively fail or otherwise do not contribute any meaningful value to federal clients. It often ends up feeling like stealing with extra steps.
3. The sausage making is obscene. I observed multiple fresh-out-of-state-college kids be billed as highly specialized subject matter experts to their client which was at least very wrong and at most...much worse. Deliverables often get slapped together last minute and clients routinely called us out for making things up as we went.",0,1
Deloitte,2020-09-16, Consultant,"Former Employee, more than 1 year","Washington, DC",1,1.0,1.0,1.0,5.0,3.0,2.0,3,2,2,Incredibly Toxic Culture,Deloitte is a powerful brand and gives you good experience. Two years or more here WILL open doors for you elsewhere. Deloitte also does a great job of showing you what a deliverable should look like. The company is big and there’s generally a lot of opportunity to try new things.,"1. The culture at Deloitte is utterly toxic. There is no division for work-life balance and employees frequently behave like high schoolers to each other. In my two years at Deloitte across several major accounts there was constant drama within my vicinity that I had to deal with / avoid on a daily basis. Working through office politics was often harder than the job itself.
2. Federal contracting is broken. This isn’t necessarily D’s fault but most projects objectively fail or otherwise do not contribute any meaningful value to federal clients. It often ends up feeling like stealing with extra steps.
3. The sausage making is obscene. I observed multiple fresh-out-of-state-college kids be billed as highly specialized subject matter experts to their client which was at least very wrong and at most...much worse. Deliverables often get slapped together last minute and clients routinely called us out for making things up as we went.",0,1
Deloitte,2020-09-16, Deputy Manager,"Current Employee, more than 8 years",Mumbai,4,4.0,5.0,5.0,3.0,4.0,5.0,1,1,1,Great company,"Job stability, Good management, work-life balance","Growth opportunities, slow growth, too structred",1,8
Deloitte,2020-09-16, Head Start Teacher,"Current Employee, more than 1 year","San Antonio, TX",3,3.0,3.0,3.0,2.0,3.0,2.0,3,2,2,Head Start Beginnings,Good start to working in a Head Start Environment,The Pay is not worth it.,1,1
Deloitte,2020-09-16, Manager,"Current Employee, more than 5 years",Amsterdam,4,3.0,4.0,4.0,5.0,3.0,4.0,1,1,1,"Good grow curve, can be a bit cold","Learn a lot, Pay for Education such as MBA, see a lot of different clients","Hard work can go unrecognized, can be left to fend for yourself. Pay is quite low.",1,5
Deloitte,2020-09-16, Senior Associate,"Former Employee, more than 3 years","Dar es Salaam, Dar es Salaam, Dar es Salaam",3,1.0,2.0,4.0,5.0,2.0,1.0,1,2,2,Review Deloitte,"Exposure and Learning benefits, talented staffs","Poor staff welfare, top down management",0,3
Deloitte,2020-09-16, Senior Associate,"Former Employee, more than 3 years","Dar es Salaam, Dar es Salaam, Dar es Salaam",3,1.0,2.0,4.0,5.0,2.0,1.0,1,2,2,Review Deloitte,"Exposure and Learning benefits, talented staffs","Poor staff welfare, top down management",0,3
Deloitte,2020-09-16, Senior Associate,"Current Employee, more than 1 year","Nottingham, England, England",3,2.0,3.0,3.0,3.0,2.0,3.0,3,2,1,Review,"Great when it comes to current topics, i.e. BLM",Studying for 3 ACA Professional Level Exams after working 9-6 is incredibly challenging.,1,1
Deloitte,2020-09-16, Senior Consultant,"Current Employee, more than 3 years","New York, NY",4,3.0,3.0,5.0,5.0,3.0,4.0,1,2,1,Great Spot to Start Career,"Resume builder, ambitious colleagues, connections, great experience in the public accounting sector as well as great experience transferable to industry","Hours, work/life balance, may be tough to transition to different position within the firm",1,3
Deloitte,2020-09-16, Senior Consultant,"Current Employee, more than 5 years",Mumbai,3,3.0,4.0,3.0,3.0,2.0,2.0,1,3,3,Too much work for very little pay,"Good Culture
Leadership is easily approachable","Low salary
Long hours and meetings at odd timings",1,5
Deloitte,2020-09-16, Senior Consultant,"Current Employee, more than 5 years",Mumbai,3,3.0,4.0,3.0,3.0,2.0,2.0,1,3,3,Too much work for very little pay,"Good Culture
Leadership is easily approachable","Low salary
Long hours and meetings at odd timings",1,5
Deloitte,2020-09-16, Senior QC Engineer,"Current Employee, more than 1 year",Hyderābād,4,4.0,4.0,4.0,4.0,4.0,4.0,1,1,3,Very company for Freshers,"Work-Life Balance, Friendly Environment, Enhanced Benefits","Less Technology stack used, No growth of experianced candidates",1,1
Deloitte,2020-09-16," Senior Specialist, Internal Communications","Former Employee, more than 1 year","Parsippany, NJ",5,4.0,4.0,5.0,5.0,5.0,5.0,1,1,1,The best of the best big four,"Great benefits and PTO is generous. They provide a well being subsidy of $500 per year to be used for work out classes and equipment. Even massages! Very well structured organization with lots of opportunity to learn and grow. Process-oriented and forward thinking. I felt proud to work here and feel that I worked among the best of the best. Also, I worked fully remote for the duration of my role which enabled a very comfortable work day. My job was very demanding but fulfilling and exciting. I did not mind the busyness since I was working from home daily.","Very demanding, long hours at times. Otherwise, enjoyed the role and firm very much!",0,1
Deloitte,2020-09-16, Tax Senior,"Current Employee, more than 3 years",Hyderābād,4,1.0,5.0,5.0,5.0,4.0,5.0,1,2,1,Good to start your career,"Lots of perks, office infrastructure","Bad work life balance, health issue",1,3
Deloitte,2020-09-17, Analyst,"Former Employee, more than 5 years","Toronto, ON",2,1.0,2.0,1.0,3.0,4.0,2.0,3,2,2,Typical corporate culture,"Friendly people, emphasis on team work & collaboration, free coffee, good health, dental and vision benefits, annual wellness spending account","deep corporate culture, little to no work/life balance, lacking in diversity & transparency",0,5
Deloitte,2020-09-17, Analyst,"Former Employee, more than 5 years","Toronto, ON",2,1.0,2.0,1.0,3.0,4.0,2.0,3,2,2,Typical corporate culture,"Friendly people, emphasis on team work & collaboration, free coffee, good health, dental and vision benefits, annual wellness spending account","deep corporate culture, little to no work/life balance, lacking in diversity & transparency",0,5
Deloitte,2020-09-17, Assistant Manager,"Former Employee, more than 3 years",Mumbai,4,3.0,3.0,4.0,4.0,3.0,3.0,1,1,1,Deloitte,"Good experience, variety of work","Work life balance, core values",0,3
Deloitte,2020-09-17, Assistant Manager,"Current Employee, more than 1 year",Bangalore,3,1.0,1.0,4.0,5.0,1.0,4.0,3,2,2,Deloitte India,"Immense learning opportunity, CPD, Great teams","Lack of respect for personal time, poor remuneration",1,1
Deloitte,2020-09-17, Audit Senior Assistant,"Former Employee, more than 1 year",Hyderābād,2,1.0,1.0,1.0,4.0,4.0,1.0,3,3,3,Right place for you if you never loved your life,Amazing work knowledge and technical skills development,"Biased people, Work place harrasment",0,1
Deloitte,2020-09-17, Big Data Developer,"Current Employee, less than 1 year",Bangalore,4,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,Deloitte Review,"* Good company to add in your profile
* Friendly Colleagues
*",* If you get project in your domain then its good otherwise people are on bench or they will be kept in different technology to work on,1,1
Deloitte,2020-09-17, Business Analyst,"Former Employee, more than 5 years","Jersey City, NJ",2,3.0,2.0,2.0,2.0,5.0,2.0,3,2,3,Vacation time cannot make up for bad management,Vacation time exceeds most; pay is on par with other similar companies,Review process is not transparent; focus is more on process than outcome; relevant training non-existent,0,5
Deloitte,2020-09-17, Business Technology Analyst,"Former Employee, more than 1 year",Gur Gram,4,1.0,3.0,5.0,3.0,4.0,4.0,1,1,1,Good company to start your career!!,"Great environment , Good Compensation, Learning opportunities are great.","Work life balance is terrible , in-level competition is too much.",0,1
Deloitte,2020-09-17, Consultant,"Former Employee, less than 1 year",Bangalore,4,3.0,4.0,4.0,3.0,4.0,3.0,1,2,1,A good tranformation company,Got ro work on some top of the life products in the transformation space and that too with some of the best talent pool,Work can get monotonous and exhausting,0,1
Deloitte,2020-09-17, Junior Manager,"Current Employee, more than 3 years",Amsterdam,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,Good Company,Great people work at Deloitte and the support in career development is very nice.,Can't note any negatives working here.,1,3
Deloitte,2020-09-17, Manager,"Current Employee, more than 3 years","Gurgaon, Haryana, Haryana",3,3.0,2.0,1.0,3.0,3.0,2.0,3,2,2,Existing employees are highly insecure,Good exposure. Wide range of projects,"Politics is high, due to insecurity in existing one.",1,3
Deloitte,2020-09-17, Senior Consultant,"Former Employee, more than 8 years","Arlington, VA",4,2.0,3.0,3.0,4.0,5.0,3.0,1,2,2,Great to Have on Resume,Great Benefits and PTO. Good upward mobility (depending on the position you start from). The ability to work from home.,"Very tribal and cliquey environment. Very ""us"" and ""them"". D&I only benefits certain groups, unless something major happens and then the firm will circle around the affected group.",0,8
Deloitte,2020-09-18, Analyst,"Former Employee, more than 1 year","Gurgaon, Haryana, Haryana",2,3.0,4.0,4.0,1.0,3.0,1.0,3,1,3,Too much politics and no fresh work,"good policies , good salary, work life balance","too much politics, monotonous work, management has pride and doesn't help much, network is everything and not your capability, people are licking boots to get to the top",0,1
Deloitte,2020-09-18, Associate Director,"Former Employee, more than 3 years","London, England, England",4,3.0,4.0,4.0,4.0,3.0,3.0,1,2,1,Good but not innovative enough,"Good place to work, good on CV","Not innovative enough - needs to split Audit off so can take on more risks/innovation. Parnters take all the money - unless equity partner or happy with a mediocre pay, need to work elsewhere as no real long term incentive. Good place to start career and at SM decide if partner possible or not and leave (to be partner need to have skill and ability, but also fortune and context to be right - for example as a white male, it was clear I wouldn't be as valued to progress so dropped out)",0,3
Deloitte,2020-09-18, BTA Analyst,"Former Employee, more than 1 year","Gurgaon, Haryana, Haryana",3,2.0,4.0,3.0,3.0,3.0,3.0,1,1,1,A good headstart,"work environment is a good advantage , great opportunity through peer learning",It takes quite a lot of time to climb up the ladder,0,1
Deloitte,2020-09-18, Consulting Manager,"Former Employee, more than 5 years","Philadelphia, PA",4,3.0,4.0,4.0,4.0,3.0,4.0,1,2,2,Strong Firm. Amazing Training. Leadership Varies. Comp. Slightly Under Market,"Amazing training
amazing mentors when you do good work
amazing visibility to sr. stakeholders within deloitte and at customers","Slightly underpaid compared to other top consulting firms
Often long hours and inability of management to limit scope increases",0,5
Deloitte,2020-09-18, DC Analyst,"Current Employee, more than 1 year",Bangalore,4,1.0,4.0,4.0,3.0,3.0,4.0,1,2,2,Great company,Great Working Environment and nice flexibility,The hike is very less,1,1
Deloitte,2020-09-18, Manager,"Former Employee, more than 10 years","Hermitage, TN",4,5.0,4.0,3.0,3.0,4.0,3.0,1,1,2,Good Opportunity,"People focused, Excellent Work-life Balance, Aiming in the right direction","Numbers driven, Very Large, Easy to get lost in the masses",0,10
Deloitte,2020-09-18, PPI Case Handler,"Former Employee, less than 1 year","Manchester, England, England",1,2.0,2.0,3.0,4.0,4.0,2.0,3,2,2,Contractor,good salary and flexible working hours,Didn't consider staff best interest throughout the projects,0,1
Deloitte,2020-09-18, PPI Case Handler,"Former Employee, less than 1 year","Manchester, England, England",1,2.0,2.0,3.0,4.0,4.0,2.0,3,2,2,Contractor,good salary and flexible working hours,Didn't consider staff best interest throughout the projects,0,1
